id;Date;City;Temperature;Sales
32208;01.01.2012;New York City;47.4;36
32209;02.01.2012;New York City;42.9;34
32210;03.01.2012;New York City;29.8;40
32211;04.01.2012;New York City;19.1;35
32212;05.01.2012;New York City;31.7;48
32213;06.01.2012;New York City;41.5;44
32214;07.01.2012;New York City;51.6;51
32215;08.01.2012;New York City;45.1;36
32216;09.01.2012;New York City;35.0;44
32217;10.01.2012;New York City;39.4;39
32218;11.01.2012;New York City;42.2;39
32219;12.01.2012;New York City;43.3;45
32220;13.01.2012;New York City;39.1;49
32221;14.01.2012;New York City;29.7;46
32222;15.01.2012;New York City;23.3;48
32223;16.01.2012;New York City;22.7;51
32224;17.01.2012;New York City;39.0;56
32225;18.01.2012;New York City;50.8;53
32226;19.01.2012;New York City;26.4;59
32227;20.01.2012;New York City;31.9;53
32228;21.01.2012;New York City;26.4;63
32229;22.01.2012;New York City;24.4;53
32230;23.01.2012;New York City;37.2;51
32231;24.01.2012;New York City;49.1;62
32232;25.01.2012;New York City;41.6;66
32233;26.01.2012;New York City;36.5;61
32234;27.01.2012;New York City;45.8;72
32235;28.01.2012;New York City;43.0;66
32236;29.01.2012;New York City;40.1;75
32237;30.01.2012;New York City;37.8;63
32238;31.01.2012;New York City;44.4;67
32239;01.02.2012;New York City;55.4;77
32240;02.02.2012;New York City;46.5;76
32241;03.02.2012;New York City;37.5;78
32242;04.02.2012;New York City;42.6;71
32243;05.02.2012;New York City;36.9;74
32244;06.02.2012;New York City;40.7;65
32245;07.02.2012;New York City;45.1;74
32246;08.02.2012;New York City;36.3;69
32247;09.02.2012;New York City;36.7;67
32248;10.02.2012;New York City;40.5;75
32249;11.02.2012;New York City;36.8;70
32250;12.02.2012;New York City;29.5;89
32251;13.02.2012;New York City;33.5;80
32252;14.02.2012;New York City;41.4;87
32253;15.02.2012;New York City;42.1;89
32254;16.02.2012;New York City;40.7;91
32255;17.02.2012;New York City;45.5;85
32256;18.02.2012;New York City;42.3;88
32257;19.02.2012;New York City;40.1;96
32258;20.02.2012;New York City;37.9;85
32259;21.02.2012;New York City;38.9;93
32260;22.02.2012;New York City;49.0;80
32261;23.02.2012;New York City;51.0;95
32262;24.02.2012;New York City;42.1;89
32263;25.02.2012;New York City;42.6;100
32264;26.02.2012;New York City;36.7;100
32265;27.02.2012;New York City;43.3;93
32266;28.02.2012;New York City;46.4;97
32267;29.02.2012;New York City;41.0;93
32268;01.03.2012;New York City;40.0;98
32269;02.03.2012;New York City;37.0;90
32270;03.03.2012;New York City;46.4;102
32271;04.03.2012;New York City;44.3;94
32272;05.03.2012;New York City;37.9;106
32273;06.03.2012;New York City;33.4;104
32274;07.03.2012;New York City;45.5;106
32275;08.03.2012;New York City;58.7;105
32276;09.03.2012;New York City;49.8;97
32277;10.03.2012;New York City;37.1;114
32278;11.03.2012;New York City;45.3;110
32279;12.03.2012;New York City;52.6;109
32280;13.03.2012;New York City;60.1;107
32281;14.03.2012;New York City;63.3;120
32282;15.03.2012;New York City;48.6;119
32283;16.03.2012;New York City;44.5;122
32284;17.03.2012;New York City;49.9;112
32285;18.03.2012;New York City;50.9;111
32286;19.03.2012;New York City;59.3;107
32287;20.03.2012;New York City;60.0;109
32288;21.03.2012;New York City;57.8;113
32289;22.03.2012;New York City;61.2;120
32290;23.03.2012;New York City;65.1;114
32291;24.03.2012;New York City;58.1;121
32292;25.03.2012;New York City;48.3;129
32293;26.03.2012;New York City;50.0;131
32294;27.03.2012;New York City;39.7;116
32295;28.03.2012;New York City;52.7;119
32296;29.03.2012;New York City;56.1;122
32297;30.03.2012;New York City;46.9;130
32298;31.03.2012;New York City;42.6;118
32299;01.04.2012;New York City;46.3;123
32300;02.04.2012;New York City;48.1;127
32301;03.04.2012;New York City;51.0;138
32302;04.04.2012;New York City;59.8;135
32303;05.04.2012;New York City;50.8;127
32304;06.04.2012;New York City;48.3;133
32305;07.04.2012;New York City;50.9;134
