id	Date	City	Temperature	Sales
32208	2012-01-01	New York City	47.4	36
32209	2012-01-02	New York City	42.9	34
32210	2012-01-03	New York City	29.8	40
32211	2012-01-04	New York City	19.1	35
32212	2012-01-05	New York City	31.7	48
32213	2012-01-06	New York City	41.5	44
32214	2012-01-07	New York City	51.6	51
32215	2012-01-08	New York City	45.1	36
32216	2012-01-09	New York City	35.0	44
32217	2012-01-10	New York City	39.4	39
32218	2012-01-11	New York City	42.2	39
32219	2012-01-12	New York City	43.3	45
32220	2012-01-13	New York City	39.1	49
32221	2012-01-14	New York City	29.7	46
32222	2012-01-15	New York City	23.3	48
32223	2012-01-16	New York City	22.7	51
32224	2012-01-17	New York City	39.0	56
32225	2012-01-18	New York City	50.8	53
32226	2012-01-19	New York City	26.4	59
32227	2012-01-20	New York City	31.9	53
32228	2012-01-21	New York City	26.4	63
32229	2012-01-22	New York City	24.4	53
32230	2012-01-23	New York City	37.2	51
32231	2012-01-24	New York City	49.1	62
32232	2012-01-25	New York City	41.6	66
32233	2012-01-26	New York City	36.5	61
32234	2012-01-27	New York City	45.8	72
32235	2012-01-28	New York City	43.0	66
32236	2012-01-29	New York City	40.1	75
32237	2012-01-30	New York City	37.8	63
32238	2012-01-31	New York City	44.4	67
32239	2012-02-01	New York City	55.4	77
32240	2012-02-02	New York City	46.5	76
32241	2012-02-03	New York City	37.5	78
32242	2012-02-04	New York City	42.6	71
32243	2012-02-05	New York City	36.9	74
32244	2012-02-06	New York City	40.7	65
32245	2012-02-07	New York City	45.1	74
32246	2012-02-08	New York City	36.3	69
32247	2012-02-09	New York City	36.7	67
32248	2012-02-10	New York City	40.5	75
32249	2012-02-11	New York City	36.8	70
32250	2012-02-12	New York City	29.5	89
32251	2012-02-13	New York City	33.5	80
32252	2012-02-14	New York City	41.4	87
32253	2012-02-15	New York City	42.1	89
32254	2012-02-16	New York City	40.7	91
32255	2012-02-17	New York City	45.5	85
32256	2012-02-18	New York City	42.3	88
32257	2012-02-19	New York City	40.1	96
32258	2012-02-20	New York City	37.9	85
32259	2012-02-21	New York City	38.9	93
32260	2012-02-22	New York City	49.0	80
32261	2012-02-23	New York City	51.0	95
32262	2012-02-24	New York City	42.1	89
32263	2012-02-25	New York City	42.6	100
32264	2012-02-26	New York City	36.7	100
32265	2012-02-27	New York City	43.3	93
32266	2012-02-28	New York City	46.4	97
32267	2012-02-29	New York City	41.0	93
32268	2012-03-01	New York City	40.0	98
32269	2012-03-02	New York City	37.0	90
32270	2012-03-03	New York City	46.4	102
32271	2012-03-04	New York City	44.3	94
32272	2012-03-05	New York City	37.9	106
32273	2012-03-06	New York City	33.4	104
32274	2012-03-07	New York City	45.5	106
32275	2012-03-08	New York City	58.7	105
32276	2012-03-09	New York City	49.8	97
32277	2012-03-10	New York City	37.1	114
32278	2012-03-11	New York City	45.3	110
32279	2012-03-12	New York City	52.6	109
32280	2012-03-13	New York City	60.1	107
32281	2012-03-14	New York City	63.3	120
32282	2012-03-15	New York City	48.6	119
32283	2012-03-16	New York City	44.5	122
32284	2012-03-17	New York City	49.9	112
32285	2012-03-18	New York City	50.9	111
32286	2012-03-19	New York City	59.3	107
32287	2012-03-20	New York City	60.0	109
32288	2012-03-21	New York City	57.8	113
32289	2012-03-22	New York City	61.2	120
32290	2012-03-23	New York City	65.1	114
32291	2012-03-24	New York City	58.1	121
32292	2012-03-25	New York City	48.3	129
32293	2012-03-26	New York City	50.0	131
32294	2012-03-27	New York City	39.7	116
32295	2012-03-28	New York City	52.7	119
32296	2012-03-29	New York City	56.1	122
32297	2012-03-30	New York City	46.9	130
32298	2012-03-31	New York City	42.6	118
32299	2012-04-01	New York City	46.3	123
32300	2012-04-02	New York City	48.1	127
32301	2012-04-03	New York City	51.0	138
32302	2012-04-04	New York City	59.8	135
32303	2012-04-05	New York City	50.8	127
32304	2012-04-06	New York City	48.3	133
32305	2012-04-07	New York City	50.9	134
32306	2012-04-08	New York City	55.2	129
32307	2012-04-09	New York City	58.2	127
32308	2012-04-10	New York City	55.8	140
32309	2012-04-11	New York City	48.9	144
32310	2012-04-12	New York City	51.2	141
32311	2012-04-13	New York City	54.4	138
32312	2012-04-14	New York City	59.9	142
32313	2012-04-15	New York City	68.5	136
32314	2012-04-16	New York City	73.1	138
32315	2012-04-17	New York City	72.7	149
32316	2012-04-18	New York City	58.8	141
32317	2012-04-19	New York City	52.9	148
